Code,Nx,Ny
1132051300,61,128
1132051400,61,129
1132051500,61,129
1132052100,61,129
1132052200,61,129
1132066000,61,128
1132067000,61,129
1132068000,61,128
1132068100,61,129
1132069000,61,129
1132070000,61,129
1132071000,61,129
1135000000,61,129
1135056000,61,128
1135057000,61,128
1135058000,61,128
1135059500,61,128
1135060000,62,128
1135061100,61,128
1135061200,61,128
1135061900,62,128
1135062100,62,129
1135062400,62,129
1135062500,61,128
1135063000,61,129
1135064000,61,129
1135066500,61,129
1135067000,61,129
1135069500,61,129
1135070000,61,129
1135071000,61,129
1135072000,61,129
1138000000,59,127
1138051000,59,127
1138052000,59,128
1138053000,59,128
1138055100,59,128
1138055200,59,128
1138056000,59,128
1138057000,59,128
1138058000,59,127
1138059000,59,127
1138060000,59,127
1138062500,59,127
1138063100,59,127
1138063200,59,127
1138064000,59,127
1138065000,58,127
1138069000,59,128
1141000000,59,127
1141052000,60,127
1141055500,59,126
1141056500,59,127
1141058500,59,126
1141061500,59,127
1141062000,59,127
1141064000,59,127
1141065500,59,127
1141066000,59,127
1141068500,59,127
1141069000,59,127
1141070000,59,127
1141071000,59,127
1141072000,59,127
1144000000,59,127
1144055500,59,126
1144056500,60,126
1144058500,59,126
1144059000,59,126
1144060000,59,126
1144061000,59,126
1144063000,59,126
1144065500,59,126
1144066000,59,126
1144068000,59,126
1144069000,59,126
1144070000,59,126
1144071000,59,127
1144072000,59,127
1144073000,59,127
1144074000,58,127
1147000000,58,126
1147051000,58,126
1147052000,58,126
1147053000,58,126
1147054000,58,126
1147055000,58,126
1147056000,57,126
1147057000,58,126
1147058000,57,126
1147059000,57,126
1147060000,57,126
1147061000,58,126
1147061100,57,126
1147062000,58,126
1147063000,58,126
1147064000,58,126
1147065000,58,126
1147067000,58,126
1147068000,58,125
1150000000,58,126
1150051000,58,126
1150052000,58,126
1150053000,58,126
1150053500,58,126
1150054000,58,126
1150055000,58,126
1150056000,57,126
1150057000,58,126
1150059000,58,126
1150059100,58,126
1150059300,58,126
1150060300,57,127
1150060400,58,127
1150060500,58,127
1150061100,57,126
1150061500,58,126
1150062000,57,126
1150063000,57,127
1150064000,57,127
1150064100,57,127
1153000000,58,125
1153051000,58,125
1153052000,58,125
1153053000,58,125
1153054000,58,125
1153055000,58,125
1153056000,58,125
1153059500,58,125
1153072000,58,125
1153073000,58,125
1153074000,58,125
1153075000,58,125
1153076000,58,125
1153077000,58,125
1153078000,57,125
1153079000,57,125
1153080000,57,125
1154500000,59,124
1154551000,58,125
1154561000,58,125
1154562000,59,124
1154563000,59,125
1154564000,59,124
1154567000,58,124
1154568000,59,124
1154569000,59,124
1154570000,59,124
1154571000,59,124
1156000000,58,126
1156051500,59,126
1156053500,59,126
1156054000,59,126
1156055000,58,126
1156056000,59,126
1156058500,59,125
1156060500,59,126
1156061000,58,126
1156062000,58,126
1156063000,59,125
1156065000,59,125
1156066000,59,125
1156067000,59,125
1156068000,59,125
1156069000,59,125
1156070000,59,125
1156071000,58,125
1156072000,58,125
1159000000,59,125
1159051000,59,125
1159052000,59,125
1159053000,59,125
1159054000,59,125
1159055000,59,125
1159056000,59,125
1159060500,60,125
1159062000,60,125
1159063000,60,125
1159064000,60,125
1159065000,60,125
1159065100,60,125
1159066000,59,125
1159067000,59,125
1159068000,59,125
1162000000,59,125
1162052500,59,125
1162054500,59,125
1162056500,59,125
1162057500,59,125
1162058500,60,125
1162059500,59,125
1162060500,59,125
1162061500,59,125
1162062500,59,125
1162063000,60,125
1162064500,59,125
1162065500,59,125
1162066500,59,125
1162068500,59,125
1162069500,59,125
1162071500,59,124
1162072500,59,125
1162073500,59,125
1162074500,59,125
1162076500,59,125
1162077500,59,125
1165000000,61,125
1165051000,61,125
1165052000,61,125
1165053000,60,125
1165053100,61,125
1165054000,60,126
1165055000,60,125
1165056000,60,125
1165057000,60,125
1165058000,60,125
1165058100,60,125
1165059000,60,125
1165060000,60,125
1165061000,60,125
1165062000,60,125
1165062100,60,125
1165065100,61,125
1165065200,61,125
1165066000,61,124
1168000000,61,126
1168051000,61,126
1168052100,61,125
1168053100,61,126
1168054500,61,126
1168056500,61,126
1168058000,61,125
1168059000,61,125
1168060000,61,125
1168061000,61,125
1168063000,61,125
1168064000,61,125
1168065000,61,125
1168065500,61,125
1168065600,61,125
1168066000,61,125
1168067000,62,125
1168069000,61,125
1168070000,62,125
1168072000,62,125
1168073000,62,125
1168074000,62,125
1168075000,62,125
1171000000,62,126
1171051000,62,126
1171052000,62,126
1171053100,63,125
1171053200,63,125
1171054000,63,125
1171055000,63,125
1171056100,62,125
1171056200,62,126
1171056600,63,126
1171057000,62,125
1171058000,62,125
1171059000,62,125
1171060000,62,125
1171061000,62,125
1171062000,62,125
1171063100,62,125
1171063200,62,125
1171064100,62,125
1171064200,62,125
1171064600,63,125
1171064700,63,125
1171065000,62,125
1171067000,62,126
1171068000,62,125
1171069000,62,126
1171071000,62,126
1171072000,62,125
1174000000,62,126
1174051500,63,127
1174052500,63,126
1174052600,63,126
1174053000,63,126
1174054000,63,126
1174055000,63,127
1174056000,63,127
1174057000,63,126
1174058000,62,126
1174059000,63,126
1174060000,63,126
1174061000,62,126
1174062000,62,126
1174064000,62,126
1174065000,62,126
1174066000,63,126
1174068500,63,126
1174069000,63,126
1174070000,63,126
2600000000,98,76
2611000000,97,74
2611051000,97,74
2611052000,97,74
2611053000,97,74
2611054500,97,74
2611056000,97,74
2611057000,97,74
2611058000,97,74
2611059000,97,74
2611060000,97,74
2614000000,97,74
2614051000,97,74
2614052000,97,74
2614053000,97,74
2614054000,97,74
2614056000,97,74
2614057000,97,74
2614059000,97,74
2614061500,97,74
2614063000,97,74
2614064000,97,74
2614065000,97,74
2614066000,97,74
2614068000,97,73
2617000000,98,75
2617051000,97,74
2617052000,97,74
2617053000,97,74
2617055000,97,74
2617056000,97,74
2617057000,97,75
2617059000,97,75
2617060000,97,75
2617064500,98,75
2617065000,98,75
2617066000,98,75
2617068000,98,75
2620000000,98,74
2620053000,97,74
2620054000,97,74
2620055000,97,74
2620058500,97,74
2620059000,97,74
2620060500,97,74
2620063000,98,74
2620064000,98,74
2620065000,98,73
2620066000,98,73
2620067000,98,74
2623000000,97,75
2623051000,98,75
2623052000,98,75
2623054000,97,76
2623055000,97,76
2623056000,98,76
2623057000,98,76
2623060000,98,75
2623061000,98,75
2623064000,97,75
2623066000,97,75
2623067000,97,75
2623068000,97,75
2623070000,97,75
2623071000,97,75
2623072000,97,75
2623074000,97,75
2623075000,97,75
2623076000,97,75
2623077000,98,75
2623078000,98,75
2626000000,98,76
2626051000,98,76
2626052000,98,76
2626054500,98,77
2626055000,98,77
2626056000,98,76
2626057000,98,76
2626058000,98,76
2626059000,98,76
2626060000,98,76
2626074000,98,76
2626075000,98,76
2626076100,98,76
2626076200,98,76
2629000000,98,75
2629051000,98,75
2629053000,98,75
2629054000,98,75
2629055000,98,75
2629056000,98,75
2629057000,99,74
2629058000,99,74
2629059000,99,74
2629060000,99,74
2629061000,98,74
2629062000,98,74
2629063000,98,74
2629064500,98,75
2629068000,98,75
2629069000,98,75
2629070000,98,75
2629071000,98,75
2632000000,96,76
2632051000,97,76
2632052000,96,76
2632052100,97,76
2632053000,97,77
2632054100,97,77
2632054200,97,77
2632054300,97,77
2632055000,97,76
2632056000,97,76
2632056100,97,76
2632057100,97,76
2632057200,97,76
2632057300,97,76
2635000000,99,75
2635051000,99,75
2635052000,99,76
2635052500,99,75
2635053000,99,75
2635054000,100,75
2635055100,100,76
2635055200,100,76
2635055300,100,76
2635055400,100,76
2635056000,100,76
2635057000,99,76
2635058000,99,76
2635059000,99,76
2635059500,99,76
2635061000,99,77
2635062000,99,77
2635065000,99,76
2635066000,99,76
2638000000,96,74
2638051000,96,74
2638052000,97,74
2638053000,97,74
2638054000,96,74
2638055000,96,74
2638056100,96,74
2638056200,96,74
2638057100,96,74
2638057200,96,74
2638058000,96,73
2638059000,96,73
2638060100,96,73
2638060200,96,73
2638061000,96,73
2638062000,97,74
2638063000,97,74
2641000000,98,77
2641051000,98,77
2641052000,98,76
2641053000,98,76
2641055500,98,77
2641057000,98,77
2641058000,98,77
2641059000,98,77
2641059100,98,77
2641060000,98,77
2641061000,98,77
2641063500,98,78
2641066500,98,78
2641067000,98,78
2641068000,98,77
2641069000,98,77
2641070000,97,77
2644000000,96,76
2644051000,96,76
2644052000,96,76
2644053000,95,76
2644053500,95,74
2644054500,95,74
2644055000,95,76
2644056000,94,74
2644058000,93,73
2647000000,98,76
2647061000,98,76
2647062000,98,76
2647063000,98,76
2647064000,98,76
2647065000,98,76
2647066000,98,76
2647067000,98,76
2647068000,98,76
2647069000,98,76
2647070000,98,76
2647072000,98,76
2647073000,98,76
2650000000,99,75
2650066000,99,75
2650067000,99,75
2650073000,99,76
2650074000,98,76
2650075000,99,76
2650076000,99,75
2650077000,99,75
2650078000,99,75
2650079000,99,75
2650080000,99,75
2653000000,96,75
2653058000,96,76
2653059100,96,76
2653059300,96,76
2653060000,96,75
2653061000,96,76
2653062000,96,75
2653064500,96,75
2653065000,97,75
2653066000,97,75
2653066100,97,75
2653067000,96,75
2653068000,96,75
2671000000,100,77
2671025000,100,77
2671025300,101,79
2671025600,100,79
2671031000,101,78
2671033000,99,78
2700000000,89,90
2711000000,89,90
2711051700,89,91
2711054500,89,90
2711056500,89,90
2711057500,89,90
2711058500,89,90
2711059500,89,90
2711064000,89,90
2711065000,89,90
2711066000,89,90
2711067000,89,90
2711068000,89,90
2711069000,89,90
2714000000,90,91
2714051000,89,91
2714052000,89,91
2714053000,89,91
2714054000,89,91
2714054100,89,91
2714055500,89,90
2714057000,89,91
2714058000,89,90
2714059000,90,91
2714060000,90,91
2714061500,90,91
2714062000,90,91
2714064000,90,91
2714065500,90,91
2714067000,90,91
2714068500,90,91
2714072000,91,90
2714073000,90,91
2714074200,91,91
2714074700,91,91
2714075500,91,91
2714076000,90,92
2717000000,88,90
2717051000,88,90
2717052500,88,90
2717054000,88,90
2717055000,88,91
2717056500,88,91
2717058000,88,90
2717059000,88,91
2717060000,88,91
2717061000,88,91
2717062000,88,91
2717063000,88,90
2717064000,88,91
2717065000,88,90
2717066000,88,90
2717066100,88,91
2717067500,88,90
2717069500,88,91
2720000000,89,90
2720051500,89,90
2720053000,89,90
2720054000,89,90
2720055000,89,90
2720056000,89,90
2720057100,89,90
2720058600,89,90
2720059000,88,90
2720060000,89,90
2720061000,88,90
2720064000,89,90
2720065000,88,90
2720066000,88,90
2723000000,89,91
2723051000,89,91
2723052600,89,91
2723055000,89,91
2723056000,89,91
2723057000,89,91
2723061000,89,91
2723062000,89,91
2723063000,89,91
2723063100,89,91
2723064500,89,91
2723067100,89,91
2723067200,89,91
2723068000,89,91
2723069500,89,92
2723071500,88,91
2723072500,88,92
2723073500,88,92
2723074500,88,92
2723075000,88,92
2723077000,88,92
2723078000,88,92
2723079000,89,91
2723080000,88,92
2726000000,89,90
2726051000,89,90
2726052000,89,90
2726053000,89,90
2726054000,90,90
2726055000,90,91
2726056000,90,90
2726056100,90,90
2726057000,89,90
2726058000,89,90
2726059000,89,90
2726060100,90,90
2726060200,89,90
2726061000,89,90
2726062000,89,90
2726063000,89,89
2726064000,89,90
2726065100,90,89
2726065200,89,89
2726066100,90,89
2726066200,90,89
2726067000,91,90
2726068000,91,90
2726069000,91,90
2729000000,88,90
2729051500,88,90
2729053500,89,90
2729055000,88,90
2729055500,88,90
2729056300,88,90
2729056800,88,90
2729057100,88,90
2729057200,88,90
2729057600,87,90
2729057700,87,90
2729058500,87,90
2729059000,88,90
2729060100,88,89
2729060200,88,90
2729061500,88,89
2729061700,87,89
2729062400,88,89
2729062500,88,89
2729062600,88,89
2729062800,88,89
2729063000,88,90
2729064000,88,90
2729065000,88,90
2771000000,86,88
2771025000,87,89
2771025300,86,88
2771025600,86,90
2771025900,87,87
2771026200,87,89
2771026500,86,87
2771031000,89,89
2771033000,86,91
2771038000,86,86
2800000000,55,124
2811000000,54,125
2811052000,53,124
2811053000,54,125
2811054000,54,124
2811056000,54,124
2811057000,54,124
2811058500,54,125
2811061500,54,125
2811062000,52,125
2811062200,53,125
2811062800,51,125
2811063000,50,124
2814000000,54,125
2814051000,54,125
2814052500,54,125
2814053000,54,125
2814055500,54,125
2814057000,54,125
2814058000,54,125
2814059000,54,125
2814060500,54,125
2814061000,54,125
2814063000,54,125
2814064000,54,125
2817700000,54,124
2817751000,54,124
2817752000,54,125
2817753000,54,124
2817754000,54,124
2817755000,54,124
2817756000,54,124
2817757000,54,124
2817758000,54,124
2817759000,55,124
2817760000,55,124
2817761000,54,125
2817762000,55,124
2817763000,55,124
2817764000,55,124
2817765000,55,124
2817766000,55,124
2817767000,55,124
2817768000,55,124
2817769000,55,124
2817770000,55,124
2817771000,55,124
2818500000,55,123
2818563000,54,124
2818564000,54,124
2818575000,55,123
2818576100,55,123
2818576200,55,123
2818576300,55,123
2818576600,55,124
2818578000,55,123
2818579000,55,123
2818579500,55,123
2818582000,54,123
2818583000,54,123
2818584000,54,123
2818585000,54,123
2818586000,54,123
2820000000,56,124
2820051000,55,124
2820052000,55,124
2820052100,55,124
2820052200,56,124
2820053000,55,124
2820054000,55,124
2820055000,55,124
2820055100,55,124
2820056000,56,124
2820057000,56,124
2820058000,55,124
2820058100,56,124
2820058200,56,124
2820058300,56,124
2820065000,56,124
2820065500,56,124
2820066000,55,124
2820069000,56,123
2820070000,55,123
2820071000,55,123
2823700000,55,125
2823751000,55,125
2823752000,55,125
2823753000,55,125
2823754000,56,125
2823755000,56,125
2823756000,56,125
2823757000,55,125
2823758000,55,125
2823758100,55,125
2823758200,55,125
2823759100,55,126
2823759200,55,125
2823764100,56,126
2823764200,56,125
2823764600,56,126
2823764800,56,125
2823765000,56,125
2823766000,56,125
2823766100,56,125
2823767000,56,125
2823768000,55,125
2823769000,55,125
2824500000,56,126
2824560100,55,126
2824560200,55,126
2824561100,55,126
2824561200,56,126
2824561300,56,126
2824561400,56,126
2824562100,56,126
2824562200,55,126
2824564000,56,126
2824571000,56,127
2824572000,56,126
2824573000,56,127
2826000000,55,126
2826051500,55,127
2826053000,55,126
2826053600,54,126
2826053700,54,126
2826053900,54,126
2826054200,55,126
2826054300,55,126
2826054400,55,125
2826055000,55,125
2826056000,55,125
2826056100,55,125
2826057500,55,125
2826058000,55,125
2826059000,55,125
2826060000,55,125
2826061000,55,125
2826068000,54,127
2826069000,55,128
2826070000,55,127
2826071000,55,127
2826072000,54,127
2826073000,54,127
2826074000,55,127
2871000000,51,130
2871025000,51,131
2871031000,51,130
2871032000,51,129
2871033000,51,128
2871034000,50,128
2871035000,50,129
2871036000,50,130
2871037000,50,131
2871038000,50,132
2871039000,51,131
2871040000,48,131
2871041000,49,130
2871042000,47,128
2872000000,54,124
2872031000,50,126
2872033000,21,135
2872034000,21,132
2872035000,46,119
2872036000,51,120
2872037000,48,120
2872038000,38,129
2900000000,58,74
2911000000,60,74
2911052500,59,74
2911054500,60,74
2911056000,59,74
2911057000,60,74
2911059000,60,74
2911060000,60,74
2911062000,60,74
2911063000,60,74
2911065500,60,74
2911068500,60,74
2911071000,60,74
2911073000,60,73
2911074000,60,73
2914000000,59,74
2914057500,59,74
2914059000,59,74
2914065000,59,74
2914066000,59,74
2914073000,59,74
2914074000,58,74
2914074500,58,74
2914075100,59,74
2914075200,58,74
2914076000,59,74
2914077000,59,74
2914078000,59,74
2914079000,59,74
2914080000,58,73
2914082100,58,74
2914082400,58,74
2914083000,59,74
2914084000,58,75
2915500000,59,73
2915551000,59,74
2915552000,59,74
2915553000,59,74
2915553700,59,74
2915553800,59,73
2915554500,59,74
2915560500,59,74
2915563000,59,74
2915564000,59,74
2915567000,59,74
2915568000,59,74
2915569000,59,74
2915570000,59,74
2915570500,59,73
2915571000,59,73
2915572000,59,73
2915573000,58,73
2917000000,59,75
2917051000,59,74
2917052000,59,74
2917053000,59,75
2917055500,59,74
2917057000,59,74
2917058000,59,74
2917059000,59,75
2917060100,59,75
2917060200,59,75
2917060300,59,75
2917061500,58,75
2917062000,59,75
2917063500,60,74
2917065000,60,75
2917065600,59,75
2917065700,59,75
2917066100,60,75
2917066200,60,75
2917066300,60,74
2917066600,59,75
2917066900,59,75
2917067300,59,75
2917067600,59,75
2917067700,59,75
2917068500,60,75
2917069500,59,76
2917069600,59,76
2917069700,58,75
2920000000,57,74
2920051500,57,74
2920052500,57,74
2920054000,57,74
2920055000,57,74
2920056500,57,74
2920058000,57,74
2920060000,57,75
2920061000,57,75
2920062000,58,76
2920062400,58,76
2920062600,58,76
2920063000,58,75
2920063500,58,75
2920063700,58,75
2920064000,57,75
2920065000,56,76
2920066000,57,73
2920067000,57,73
2920068000,55,74
2920069000,56,75
2920070000,58,75
3000000000,67,100
3011000000,68,100
3011051500,68,100
3011053000,68,100
3011054500,68,100
3011055100,69,100
3011055200,69,100
3011056000,69,100
3011058500,68,100
3011059000,68,100
3011062000,68,100
3011063000,68,100
3011064000,68,101
3011066500,68,100
3011067000,68,100
3011069500,68,100
3011072500,69,100
3011074000,69,99
3014000000,68,100
3014053500,68,100
3014055000,68,100
3014056000,68,100
3014057500,68,100
3014060500,68,100
3014062000,68,99
3014063000,68,100
3014064000,68,100
3014065500,68,100
3014067000,68,100
3014068000,68,100
3014069000,67,100
3014070000,67,100
3014071000,68,100
3014072000,68,100
3014073000,68,99
3014074000,67,99
3017000000,67,100
3017051000,67,99
3017052000,67,100
3017053000,67,100
3017053500,67,99
3017054000,67,100
3017055000,67,100
3017055500,67,100
3017056000,67,100
3017057000,67,100
3017057500,67,100
3017058100,67,100
3017058200,67,100
3017058600,67,100
3017058700,67,101
3017058800,67,101
3017059000,67,99
3017059600,66,99
3017059700,66,99
3017060000,67,98
3017063000,67,100
3017064000,67,100
3017065000,67,101
3017066000,68,101
3020000000,67,101
3020052000,66,99
3020052600,66,100
3020052700,66,100
3020053000,66,100
3020054000,66,101
3020054600,66,101
3020054700,66,101
3020054800,66,101
3020055000,67,101
3020057000,68,101
3020058000,67,102
3020060000,68,101
3020061000,67,100
3023000000,68,100
3023051000,68,100
3023052000,68,101
3023052500,68,101
3023053300,68,100
3023054300,68,101
3023054600,68,101
3023055000,68,103
3023056000,68,102
3023057000,68,102
3023058000,68,102
3023060000,68,101
3023061000,68,101
3100000000,102,84
3111000000,102,84
3111051000,102,84
3111052000,102,84
3111053000,102,84
3111054000,102,84
3111055000,102,84
3111058500,102,84
3111059000,102,84
3111060000,102,84
3111061000,101,84
3111062000,102,84
3111063000,102,85
3111064000,102,84
3111065000,102,85
3114000000,102,84
3114051000,102,84
3114052000,102,84
3114053000,102,84
3114054000,102,83
3114055000,102,84
3114056000,102,84
3114057000,102,84
3114058500,101,84
3114059500,101,84
3114060000,101,84
3114062500,102,83
3114063500,102,83
3114064000,102,83
3114067000,102,83
3117000000,104,83
3117051000,104,83
3117052000,104,83
3117053000,104,83
3117054000,104,83
3117055000,104,83
3117056000,104,83
3117058000,104,84
3117059000,104,83
3117060000,104,84
3120000000,103,85
3120051000,102,86
3120052000,102,86
3120053000,102,86
3120054000,104,85
3120056000,103,85
3120057000,103,85
3120058000,103,84
3120059000,103,83
3171000000,101,84
3171025000,102,81
3171025300,98,84
3171025600,101,81
3171025900,100,84
3171026200,102,83
3171026500,98,84
3171031000,102,80
3171034000,100,82
3171036000,100,86
3171037000,99,86
3171038000,98,85
3171040000,99,83
3600000000,66,103
3611000000,66,103
3611025000,66,106
3611031000,65,105
3611032000,66,105
3611033000,67,104
3611034000,65,103
3611035000,64,104
3611036000,65,106
3611037000,64,108
3611038000,65,107
3611039000,63,108
3611051000,65,103
3611051500,65,103
3611052000,65,104
3611052500,65,104
3611053000,65,104
3611054000,65,104
3611055000,65,104
3611055500,66,103
3611055600,66,104
3611056000,66,103
3611057000,65,103
3611058000,65,104
4100000000,60,120
4111100000,60,121
4111156000,60,121
4111156600,60,121
4111157100,60,121
4111157200,60,121
4111157300,60,121
4111158000,61,121
4111159100,60,121
4111159700,61,121
4111159800,60,121
4111160000,61,121
4111300000,60,120
4111352000,60,120
4111353000,61,120
4111354000,61,120
4111355000,60,120
4111356000,60,120
4111365000,60,120
4111366200,59,120
4111366400,60,120
4111367000,61,120
4111368000,61,120
4111369000,61,120
4111370000,60,121
4111500000,61,121
4111565000,61,120
4111566000,60,120
4111567000,60,120
4111568000,60,120
4111569000,60,121
4111570000,61,120
4111571000,61,121
4111572000,61,120
4111573000,61,120
4111574000,61,121
4111700000,61,120
4111751000,61,120
4111752000,61,120
4111753000,61,120
4111754000,61,120
4111755000,61,120
4111757000,62,120
4111758000,61,120
4111758500,62,120
4111759300,61,120
4111759600,61,120
4111760000,61,121
4111761000,62,121
4113100000,63,124
4113151000,63,124
4113152000,63,124
4113153000,63,124
4113154000,62,124
4113155000,63,124
4113156000,63,124
4113156100,63,124
4113157000,63,124
4113158000,62,124
4113159000,63,124
4113160000,63,124
4113161000,63,124
4113162000,62,124
4113162500,63,125
4113163000,62,124
4113164000,62,124
4113165000,62,124
4113300000,63,124
4113351000,63,124
4113352500,63,124
4113353000,63,124
4113354000,63,124
4113355000,63,124
4113356000,63,124
4113357000,63,124
4113358000,63,124
4113359000,63,124
4113366000,63,124
4113367000,63,123
4113500000,62,123
4113551000,63,122
4113552000,62,123
4113553000,62,122
4113554000,62,122
4113554500,62,122
4113555000,62,122
4113556000,62,122
4113557000,62,122
4113558000,62,123
4113559000,63,123
4113560000,62,123
4113561000,62,123
4113562000,63,123
4113563000,62,123
4113564000,63,123
4113565000,62,123
4113565500,62,123
4113565700,62,123
4113566200,62,122
4113566500,62,122
4113567000,62,122
4113568000,62,123
4115000000,61,130
4115051000,61,131
4115052000,61,130
4115054500,61,130
4115055500,61,130
4115056100,61,130
4115056700,61,130
4115056800,61,131
4115057300,62,130
4115057600,62,130
4115057800,62,131
4115058000,61,131
4115059500,61,131
4115061500,61,131
4115062000,61,131
4117100000,59,123
4117151000,59,123
4117152000,59,123
4117153000,59,123
4117154000,59,123
4117155000,59,123
4117156000,59,123
4117157000,59,123
4117158000,59,123
4117158100,59,123
4117159000,59,123
4117160000,59,123
4117161000,58,123
4117162100,59,123
4117163000,59,123
4117300000,59,123
4117351000,59,123
4117352000,59,123
4117353000,59,123
4117354000,59,123
4117354600,59,123
4117355000,60,123
4117356000,60,123
4117356600,60,123
4117357000,60,123
4117357600,60,123
4117357800,60,123
4117358000,60,122
4117359000,59,123
4117360000,60,122
4117361000,59,123
4117362000,60,123
4117363000,60,123
4119000000,56,125
4119060300,57,125
4119060600,57,125
4119061000,56,125
4119074200,56,125
4119074400,56,125
4119074600,56,125
4119075000,57,125
4119079500,57,125
4119080000,57,126
4119083000,57,126
4121000000,58,125
4121051000,58,125
4121052000,58,125
4121054000,58,125
4121055000,58,125
4121056000,58,125
4121057000,58,125
4121058000,58,125
4121059000,58,125
4121060000,58,125
4121061000,58,125
4121062000,58,125
4121063100,58,124
4121063200,58,124
4121063300,58,124
4121063400,58,124
4121064000,58,124
4121065000,58,124
4121065500,58,123
4121066000,58,123
4122000000,62,114
4122025000,61,114
4122025300,59,114
4122025600,58,114
4122025900,59,115
4122031000,62,117
4122032000,61,117
4122033000,61,115
4122034000,60,115
4122037000,59,114
4122051000,61,116
4122052000,61,116
4122053500,62,115
4122055000,61,116
4122056000,61,116
4122057000,61,116
4122058000,61,116
4122059000,62,114
4122060000,62,114
4122061000,62,114
4122062000,62,114
4122063000,62,114
4122063500,63,114
4122064000,62,114
4122065000,62,115
4122066000,61,115
4125000000,61,134
4125051000,61,134
4125052000,61,134
4125053500,61,134
4125055000,61,134
4125056500,61,134
4125056600,61,134
4125058000,61,135
4125060000,61,134
4127100000,58,121
4127151000,58,121
4127151500,58,121
4127152500,58,121
4127153200,58,121
4127153700,57,121
4127154000,58,121
4127155000,58,121
4127156000,58,121
4127157000,58,122
4127158000,58,122
4127159000,58,121
4127160000,59,121
4127161000,58,122
4127300000,57,121
4127351000,57,122
4127352500,57,122
4127353200,57,121
4127353500,57,121
4127354500,57,122
4127355500,57,122
4127356500,57,122
4127357000,57,121
4127358000,57,122
4127359000,57,122
4127360000,57,122
4127361000,53,120
4128100000,57,128
4128151000,57,129
4128152000,58,129
4128153000,58,128
4128154000,57,129
4128155000,57,128
4128156000,59,128
4128157600,58,129
4128157700,58,129
4128158000,58,128
4128159000,59,130
4128160000,58,129
4128161000,57,128
4128162100,57,128
4128162200,57,128
4128163000,57,128
4128164000,57,128
4128165000,57,128
4128165500,57,128
4128165600,58,128
4128166000,58,127
4128167000,58,127
4128500000,56,129
4128551000,57,129
4128552500,56,129
4128552600,56,129
4128553000,56,129
4128554000,57,129
4128555100,57,128
4128555200,57,128
4128556000,57,129
4128557000,56,128
4128558000,56,128
4128559000,56,128
4128560000,57,130
4128700000,56,129
4128751000,56,129
4128752000,56,129
4128753000,56,129
4128754500,56,129
4128754600,56,130
4128755000,56,129
4128756000,56,129
